#Wavelength [nm]	White Std.	Dark spec	0[s]	20.578[s]	40.667[s]	60.747[s]	80.814[s]	100.892[s]	120.956[s]	141.017[s]	161.122[s]	181.21[s]	201.3[s]	221.359[s]	241.466[s]	261.615[s]	281.707[s]	301.819[s]	301.831[s]
438.743	15031.8	1035.66	1045.24	1026.04	1043.44	1045.44	1025.44	1017.24	1037.04	1037.84	1007.64	1013.24	971.64	1022.64	1017.44	1004.44	1057.84	1011.64	1011.64
439.014	15520.4	1028.82	1078.29	1060.62	1052.62	1033.82	1104.62	1066.62	1073.62	1076.82	1029.62	1047.02	1028.62	1023.02	1025.22	1066.82	1053.62	1037.62	1037.62
439.286	15873.8	1037.34	1080.73	1089.6	1064.4	1076.8	1033.2	1043.8	1048.8	1077.4	1064	1035.6	1074.8	1052.2	1048.6	1011.2	1050.2	1047.2	1047.2
439.557	15808.6	1038.04	1088.21	1098.74	1061.14	1093.14	1107.74	1071.74	1065.54	1085.34	1076.94	1072.54	1053.34	1081.74	1055.74	1047.34	1071.94	1048.74	1048.74
439.828	16376.8	1033.88	1154.11	1111.38	1089.18	1139.38	1104.38	1109.98	1126.58	1122.58	1122.18	1120.18	1109.58	1101.58	1102.58	1122.38	1093.98	1121.98	1121.98
440.1	16777.5	1037.58	1165.71	1155.18	1141.38	1140.18	1171.98	1174.58	1138.78	1150.38	1140.78	1170.78	1094.18	1117.58	1127.18	1121.98	1156.38	1152.38	1152.38
440.371	16694.5	1038.48	1172.57	1142.24	1146.04	1169.84	1170.04	1157.04	1131.24	1146.24	1163.24	1147.84	1120.44	1157.44	1128.64	1144.84	1084.24	1106.24	1106.24
440.642	17201.6	1043.28	1205.89	1206.56	1223.36	1196.76	1154.56	1195.36	1152.36	1187.16	1165.56	1194.56	1160.36	1190.76	1164.36	1184.16	1174.56	1135.16	1135.16
440.913	17586.5	1035.4	1236.93	1242.66	1216.26	1175.66	1226.66	1208.06	1192.46	1233.86	1228.06	1214.66	1165.26	1213.46	1233.66	1199.66	1205.46	1172.26	1172.26
441.184	17794	1034.84	1260.43	1229.16	1273.16	1242.36	1232.56	1275.56	1213.16	1196.36	1195.16	1242.56	1194.16	1192.36	1232.76	1209.76	1216.96	1204.36	1204.36
441.456	18180.6	1029.14	1293.58	1264.38	1262.78	1272.18	1251.98	1245.98	1246.38	1234.98	1259.18	1257.58	1263.98	1255.18	1233.18	1216.98	1267.38	1230.78	1230.78
441.727	18413.2	1030.1	1283.21	1291.54	1285.74	1272.14	1252.54	1267.94	1254.34	1263.74	1256.74	1276.34	1228.54	1254.94	1233.74	1211.14	1246.74	1290.74	1290.74
441.998	18848.1	1026.26	1328.22	1288.69	1289.69	1309.29	1348.89	1287.89	1311.09	1321.89	1316.29	1274.29	1251.49	1295.89	1272.09	1278.89	1272.69	1302.29	1302.29
442.268	19392.6	1034.42	1369.21	1368.14	1368.94	1354.94	1336.34	1346.14	1383.74	1335.94	1352.74	1335.74	1388.94	1300.54	1332.94	1362.34	1319.74	1300.94	1300.94
442.539	19370.6	1036.98	1384.67	1345.8	1353	1372	1345.2	1358.2	1348.8	1352	1334	1310.4	1370.6	1302.2	1307.6	1326.8	1321	1324.6	1324.6
442.81	20290	1029.4	1437.45	1437.72	1407.32	1395.12	1424.92	1391.32	1404.52	1368.12	1388.12	1395.32	1372.12	1364.12	1397.92	1422.52	1338.72	1392.12	1392.12
443.081	20151.4	1035.55	1457.97	1431.84	1439.84	1413.24	1369.24	1411.44	1406.44	1390.64	1382.44	1420.64	1376.04	1398.64	1386.84	1406.84	1411.84	1404.44	1404.44
443.352	20682	1037.36	1486.77	1424.84	1460.04	1452.04	1452.64	1444.84	1420.04	1428.44	1445.84	1445.64	1425.04	1399.64	1400.04	1447.24	1402.84	1428.04	1428.04
443.622	20915.1	1040.96	1497.59	1463.86	1463.26	1497.66	1463.66	1509.06	1461.46	1439.66	1425.06	1436.66	1460.06	1418.66	1431.46	1405.06	1450.26	1456.26	1456.26
443.893	21308.2	1032.2	1540.41	1511.74	1505.14	1523.14	1513.34	1505.54	1478.14	1486.54	1489.74	1494.54	1519.14	1513.94	1442.14	1503.54	1455.34	1498.34	1498.34
444.163	21839.2	1039.64	1579.57	1538.84	1560.64	1585.24	1510.84	1534.24	1532.44	1550.04	1546.24	1505.44	1545.64	1501.64	1519.24	1511.84	1558.64	1530.04	1530.04
444.434	22149.1	1039.24	1597.49	1579.56	1570.56	1558.76	1564.96	1603.16	1551.36	1545.56	1596.76	1533.76	1566.36	1528.16	1544.16	1535.56	1505.56	1583.76	1583.76
444.704	22429.9	1039.28	1622.41	1615.94	1593.74	1574.94	1582.94	1562.74	1596.34	1574.54	1586.74	1558.54	1578.14	1577.14	1569.34	1569.94	1574.34	1616.54	1616.54
444.975	22919.3	1045.32	1671.54	1637.94	1623.54	1642.34	1610.14	1670.34	1638.14	1598.74	1629.34	1615.74	1629.34	1591.74	1587.34	1633.34	1574.74	1614.34	1614.34
445.245	22974.9	1035.98	1679.9	1649.5	1635.1	1638.5	1640.1	1643.5	1651.7	1620.3	1622.1	1667.5	1591.1	1624.7	1625.7	1624.7	1607.1	1618.5	1618.5
445.515	24052.1	1035.22	1763.77	1747.04	1713.84	1698.24	1727.04	1744.04	1717.24	1734.44	1699.64	1699.44	1684.64	1678.44	1663.24	1697.84	1666.24	1654.64	1654.64
445.786	23975.5	1038.96	1749.16	1739.56	1702.56	1679.96	1702.16	1746.16	1702.16	1727.36	1700.76	1677.16	1673.76	1697.36	1687.56	1705.76	1682.96	1661.36	1661.36
446.056	24639.7	1041.24	1790.36	1774.76	1749.36	1782.16	1770.16	1755.96	1764.76	1751.96	1758.56	1781.36	1698.36	1731.96	1695.96	1728.36	1715.96	1721.56	1721.56
446.326	24847.5	1035.5	1827.12	1744.12	1799.52	1808.12	1786.32	1780.32	1745.32	1785.72	1803.32	1739.52	1793.72	1776.32	1743.12	1778.12	1749.12	1748.72	1748.72
446.596	25224.9	1040.26	1835.33	1816.06	1849.26	1812.86	1808.66	1812.66	1806.86	1799.26	1815.66	1733.66	1795.46	1774.26	1789.26	1783.26	1757.66	1807.86	1807.86
446.866	25501.2	1030.36	1857.42	1846.82	1820.62	1816.62	1834.02	1843.62	1795.42	1819.22	1786.42	1813.22	1808.62	1799.42	1812.82	1802.22	1788.82	1797.22	1797.22
447.136	25743.3	1041.48	1893.01	1856.34	1902.94	1841.14	1879.74	1826.14	1869.54	1871.94	1840.94	1843.14	1843.14	1807.54	1850.54	1787.14	1849.54	1825.14	1825.14
447.406	25906	1042.4	1916.86	1924.86	1929.86	1879.26	1914.86	1863.46	1866.26	1844.46	1870.46	1838.46	1860.06	1874.06	1847.86	1843.26	1839.66	1895.26	1895.26
447.676	26311.4	1034.28	1971.8	1953.4	1923.6	1932.2	1947.4	1909.8	1883.2	1933	1905.6	1918.8	1875.6	1887.8	1909.4	1890.6	1891	1853	1853
447.946	26827.6	1038.64	2001.13	1980.36	1973.16	1950.56	1966.36	1950.96	1920.56	1906.96	1934.76	1916.76	1961.96	1942.16	1928.76	1939.36	1926.16	1878.16	1878.16
448.215	26646.9	1030.72	1995.03	1996.3	1985.7	1946.3	1991.5	1914.5	1963.5	1940.7	1920.7	1930.1	1950.9	1911.7	1953.7	1916.5	1919.7	1929.3	1929.3
448.485	26791.3	1042.1	2006.69	1972.42	1979.22	1970.02	1981.42	1917.62	1956.02	1955.62	1959.62	1906.82	1975.82	1926.02	1946.82	1920.82	1951.62	1948.22	1948.22
448.755	27135.4	1034.46	2064.27	2030.4	2010	1988.8	1959.8	1988	1987	1988.2	1997.2	1997.6	2003.4	1973.8	2032.8	1985	1943	1964.4	1964.4
449.024	27508	1042.52	2078.79	2052.46	2045.26	2027.06	2015.66	2010.26	2041.26	1984.86	1995.26	1988.06	1967.26	2025.26	2009.46	2027.86	2006.86	1972.86	1972.86
449.294	27269.9	1027.66	2092.63	2042.1	2028.3	2031.5	2033.3	2013.7	2018.9	2029.1	2006.3	2039.7	2023.3	2044.7	2024.9	2031.7	1999.3	1967.9	1967.9
449.563	27330.9	1035.06	2096.51	2058.44	2015.64	2088.84	2074.44	2032.84	2030.04	2020.44	2018.64	2022.04	2022.84	2032.44	1996.84	2001.64	2001.04	1994.64	1994.64
449.833	27548.3	1041.44	2121.53	2137.2	2099.2	2098.4	2038	2093	2044.4	2057.8	2079.6	2082.6	2075.4	2038.2	2077.8	2052	2014.6	2032.4	2032.4
450.102	27971.1	1032.7	2182.67	2134.14	2129.34	2157.14	2132.54	2120.34	2073.14	2112.94	2085.14	2120.74	2060.54	2086.94	2080.74	2109.54	2063.54	2097.54	2097.54
450.372	27963.5	1034.42	2194.22	2163.62	2122.82	2159.02	2141.02	2131.02	2122.62	2131.02	2122.42	2124.82	2107.22	2054.42	2096.82	2125.82	2075.42	2093.82	2093.82
450.641	27496.9	1026.94	2160.15	2134.82	2131.22	2076.02	2078.02	2098.22	2071.02	2079.62	2135.62	2049.22	2050.52	2059.42	2091.82	2091.82	2068.42	2053.02	2053.02
450.91	27003.1	1038.32	2123.7	2117.5	2101.3	2117.1	2097.3	2094.3	2108.1	2051.7	2064.9	2039.5	2070.7	2069.3	2054.7	2055.1	2038.1	2053.3	2053.3
451.179	26860.6	1031.12	2155.23	2138.3	2105.9	2034.1	2070.7	2107.7	2085.1	2062.3	2076.9	2085.3	2076.1	2067.5	2044.1	2088.7	2063.5	2022.1	2022.1
451.448	27428.9	1039.42	2199.87	2178.94	2140.94	2145.34	2132.74	2136.94	2109.34	2106.94	2111.34	2140.54	2106.54	2107.54	2146.34	2152.34	2085.14	2114.74	2114.74
451.717	26384.5	1032.04	2147.55	2117.48	2111.48	2107.68	2091.08	2095.48	2059.48	2030.48	2058.08	2068.08	2036.48	2064.88	2071.68	2084.48	2015.88	2042.28	2042.28
451.986	26978.5	1037.78	2185.41	2151.54	2129.74	2161.14	2137.94	2160.34	2110.34	2139.54	2142.14	2114.14	2099.14	2148.14	2092.34	2100.94	2135.34	2131.34	2131.34
452.255	26369.4	1032.66	2171.87	2148.87	2120.47	2127.87	2128.87	2117.27	2107.27	2078.87	2077.87	2118.27	2085.27	2041.87	2107.07	2085.27	2083.27	2058.47	2058.47
