# Object: 
# Sample: 
# Curr: 900 (Watts: 0.00212998, Luxes: 8.2241)
#Time	L	a	b	dE76	dE94	dE2000	dL	da	db
173.844	64.0907	16.8054	49.675	5.62028	3.97874	3.93112	-3.16464	3.57581	-2.96415
175.851	64.0959	16.8015	49.6972	5.60318	3.9705	3.92218	-3.15941	3.5719	-2.94199
177.858	64.0785	16.8196	49.6461	5.65139	3.99653	3.95005	-3.17682	3.58998	-2.99302
179.874	64.072	16.8301	49.7162	5.62502	3.99583	3.94535	-3.18337	3.60046	-2.92295
181.892	64.0669	16.8289	49.702	5.63452	4.00132	3.95024	-3.18839	3.5993	-2.93717
183.896	64.0628	16.8354	49.7071	5.63834	4.00594	3.95464	-3.19255	3.60575	-2.93208
185.892	64.0526	16.8445	49.6839	5.66203	4.01986	3.96899	-3.20276	3.6149	-2.95524
187.889	64.052	16.8461	49.6949	5.65759	4.01932	3.96793	-3.20327	3.61645	-2.94425
189.886	64.0477	16.8499	49.6612	5.68009	4.02829	3.97851	-3.20757	3.62029	-2.97799
191.894	64.0389	16.8619	49.7632	5.64001	4.02586	3.96985	-3.21643	3.63223	-2.87597
193.887	64.0412	16.8562	49.7429	5.64542	4.02489	3.96969	-3.21414	3.62658	-2.89621
195.896	64.0274	16.8928	49.7616	5.66731	4.04464	3.99123	-3.22787	3.6632	-2.87752
197.904	64.0211	16.8863	49.7074	5.69443	4.05464	4.00177	-3.23419	3.65672	-2.93171
199.916	64.0164	16.8979	49.6703	5.72374	4.06673	4.01692	-3.2389	3.66832	-2.96886
201.915	64.0131	16.8942	49.6421	5.73784	4.07183	4.02225	-3.24217	3.66455	-2.99703
203.922	63.9998	16.9245	49.6165	5.77814	4.09502	4.04892	-3.25547	3.69487	-3.02269
205.93	64.0009	16.8964	49.6485	5.74291	4.08148	4.02885	-3.25445	3.6668	-2.99068
207.957	63.9979	16.9139	49.6189	5.77122	4.09304	4.04447	-3.25746	3.68426	-3.0203
209.943	63.9924	16.9203	49.6275	5.77395	4.09825	4.04892	-3.26292	3.69072	-3.0117
211.97	63.9831	16.9311	49.6973	5.75009	4.09999	4.04602	-3.27227	3.70152	-2.94186
213.973	63.9742	16.9381	49.6776	5.76974	4.11174	4.05795	-3.28117	3.70849	-2.96156
215.963	63.9745	16.9308	49.6728	5.76732	4.10985	4.05517	-3.28081	3.70117	-2.9664
217.971	63.9625	16.9604	49.7467	5.75568	4.11903	4.06206	-3.29282	3.73079	-2.89246
219.987	63.9635	16.9288	49.7195	5.74837	4.11202	4.05148	-3.29178	3.69917	-2.91962
221.979	63.9605	16.958	49.6594	5.79966	4.13109	4.07842	-3.29487	3.7284	-2.97976
223.986	63.9586	16.9508	49.653	5.79938	4.13118	4.0772	-3.29672	3.72117	-2.9862
225.999	63.9506	16.9683	49.6731	5.80485	4.14033	4.08617	-3.30473	3.73867	-2.96605
228.012	63.9412	16.975	49.6717	5.81523	4.15004	4.09479	-3.31411	3.74534	-2.96749
230.013	63.9428	16.9784	49.6118	5.84727	4.15748	4.10682	-3.31249	3.74873	-3.02737
232.038	63.9385	16.9775	49.6603	5.82425	4.15445	4.09966	-3.31684	3.7479	-2.97887
234.048	63.9328	16.9826	49.6679	5.82685	4.15954	4.10376	-3.32251	3.75293	-2.9713
236.045	63.9167	16.9941	49.6549	5.8501	4.17758	4.12059	-3.3386	3.76452	-2.98426
238.043	63.918	17.0067	49.7204	5.82433	4.17202	4.11359	-3.3373	3.77707	-2.91874
240.056	63.9145	17.0095	49.6614	5.858	4.18325	4.12796	-3.34086	3.77993	-2.97775
242.057	63.9101	17.0356	49.6331	5.89173	4.19832	4.14815	-3.34523	3.80597	-3.00607
244.074	63.9003	17.0366	49.6811	5.87358	4.20026	4.14497	-3.35498	3.80698	-2.95805
246.081	63.9001	17.0441	49.691	5.87363	4.20151	4.14685	-3.35525	3.81448	-2.94814
248.071	63.8875	17.0511	49.6666	5.89766	4.21683	4.16173	-3.36786	3.82151	-2.97254
250.095	63.8888	17.0631	49.6639	5.90604	4.21978	4.16723	-3.36655	3.83347	-2.97525
252.088	63.8858	17.0465	49.6945	5.88159	4.21319	4.1552	-3.36952	3.81684	-2.94468
254.101	63.8862	17.0509	49.6516	5.90579	4.21965	4.1651	-3.36908	3.82127	-2.98758
256.118	63.8748	17.051	49.6487	5.91384	4.22921	4.17202	-3.38057	3.82135	-2.99041
258.134	63.8684	17.0772	49.6445	5.93655	4.24279	4.18881	-3.38687	3.84757	-2.99465
260.146	63.8732	17.0556	49.6898	5.8971	4.22668	4.16742	-3.38216	3.82599	-2.94935
262.153	63.8578	17.0721	49.6833	5.91989	4.24485	4.18502	-3.39755	3.84249	-2.95583
264.165	63.8617	17.0763	49.6422	5.94102	4.2482	4.19255	-3.39361	3.84671	-2.99699
266.186	63.8539	17.0806	49.6479	5.9454	4.25504	4.19785	-3.40144	3.85101	-2.99127
268.191	63.8523	17.0777	49.6966	5.91998	4.24921	4.18819	-3.40299	3.84803	-2.94252
270.207	63.8471	17.0908	49.6449	5.95734	4.26394	4.207	-3.40824	3.86116	-2.99422
272.231	63.8333	17.1061	49.6465	5.97439	4.27943	4.22163	-3.42203	3.87644	-2.9927
274.243	63.8341	17.092	49.686	5.94505	4.26948	4.20707	-3.42119	3.86234	-2.9532
276.268	63.8292	17.0992	49.6642	5.96342	4.27835	4.2173	-3.42608	3.86962	-2.97497
278.287	63.8323	17.1125	49.6754	5.96473	4.27854	4.21986	-3.42302	3.88293	-2.96376
280.297	63.831	17.1039	49.7059	5.94474	4.2731	4.21078	-3.42432	3.87426	-2.93328
282.293	63.8206	17.1223	49.6848	5.97316	4.28971	4.22925	-3.43474	3.8927	-2.95433
284.293	63.8115	17.1302	49.7041	5.97403	4.29697	4.23447	-3.44383	3.90057	-2.93506
286.316	63.8149	17.1318	49.6346	6.00758	4.3035	4.2463	-3.44044	3.90216	-3.0046
288.319	63.8002	17.1376	49.6171	6.02851	4.31925	4.26047	-3.45515	3.90797	-3.02202
290.324	63.8031	17.1424	49.6548	6.01112	4.31357	4.25407	-3.45219	3.91276	-2.98435
292.334	63.8008	17.1464	49.7148	5.98551	4.30912	4.24612	-3.45453	3.91675	-2.92431
294.357	63.7995	17.1428	49.624	6.02886	4.32053	4.26207	-3.45585	3.91319	-3.01516
296.371	63.7927	17.1564	49.6704	6.01852	4.32423	4.26362	-3.46265	3.92674	-2.96872
298.39	63.7909	17.166	49.6816	6.02039	4.32721	4.26716	-3.46443	3.93643	-2.9576
300.409	63.7825	17.1828	49.6406	6.05637	4.34418	4.28743	-3.47279	3.95319	-2.9986
