# Object: 
# Sample: 
# Curr: 900 (Watts: 0.00212998, Luxes: 8.2241)
#Time	L	a	b	dE76	dE94	dE2000	dL	da	db
177.195	70.7208	16.2606	56.2307	6.12784	4.137	4.09608	-3.1643	4.48487	-2.72461
179.202	70.7072	16.2734	56.2246	6.14699	4.1522	4.10975	-3.17792	4.49772	-2.73073
181.21	70.7043	16.2785	56.266	6.13394	4.15165	4.10693	-3.18085	4.50279	-2.68929
183.223	70.7066	16.2548	56.2599	6.11805	4.14292	4.09471	-3.17852	4.47907	-2.69545
185.246	70.6943	16.2973	56.2681	6.15201	4.1651	4.1207	-3.19082	4.52158	-2.68724
187.247	70.7011	16.2981	56.2328	6.16455	4.16389	4.12379	-3.184	4.52235	-2.72253
189.254	70.6853	16.3108	56.2417	6.17811	4.17909	4.1359	-3.19977	4.53504	-2.71365
191.262	70.6785	16.3168	56.286	6.16675	4.18158	4.13487	-3.20664	4.54103	-2.66934
193.275	70.6779	16.3313	56.3601	6.14605	4.17888	4.13063	-3.20719	4.55554	-2.59517
195.277	70.6694	16.3301	56.305	6.17314	4.19085	4.14274	-3.21576	4.55439	-2.6503
197.283	70.6585	16.3489	56.3122	6.18963	4.20449	4.15612	-3.22666	4.57318	-2.64313
199.294	70.6722	16.33	56.2694	6.18698	4.1924	4.14718	-3.21291	4.5543	-2.68594
201.3	70.6614	16.3427	56.3311	6.17539	4.19822	4.14853	-3.22368	4.56694	-2.6242
203.302	70.6612	16.3713	56.2891	6.2146	4.21201	4.17009	-3.22393	4.59553	-2.66619
205.296	70.6578	16.3747	56.3259	6.20319	4.21183	4.16743	-3.22731	4.59894	-2.6294
207.304	70.6466	16.3767	56.3203	6.21287	4.22163	4.17437	-3.2385	4.60093	-2.63502
209.309	70.6435	16.3604	56.265	6.22612	4.2246	4.17631	-3.24161	4.58463	-2.69028
211.317	70.6301	16.3909	56.2631	6.25642	4.24488	4.1983	-3.25503	4.61515	-2.69221
213.325	70.6355	16.4001	56.3099	6.24043	4.23876	4.19305	-3.2496	4.62435	-2.64545
215.332	70.6305	16.3911	56.2645	6.25578	4.24448	4.19801	-3.2546	4.6154	-2.69081
217.338	70.6231	16.4076	56.2436	6.28082	4.25767	4.21318	-3.262	4.6319	-2.71175
219.35	70.627	16.4259	56.2489	6.29005	4.26005	4.22001	-3.25815	4.65021	-2.70641
221.359	70.6208	16.4231	56.2888	6.2741	4.25967	4.21487	-3.26435	4.64736	-2.66653
223.363	70.6253	16.413	56.3655	6.23195	4.24492	4.19531	-3.25978	4.63723	-2.58982
225.37	70.606	16.4422	56.2522	6.3115	4.28099	4.23719	-3.27915	4.66642	-2.7031
227.388	70.6075	16.4498	56.262	6.31217	4.28122	4.23884	-3.27758	4.67407	-2.69334
229.41	70.5958	16.4537	56.2213	6.33857	4.29575	4.25268	-3.28933	4.67795	-2.73396
231.403	70.5924	16.4731	56.2788	6.33016	4.29853	4.25486	-3.2927	4.69736	-2.67653
233.414	70.5938	16.4655	56.2427	6.33913	4.29881	4.25616	-3.29132	4.68975	-2.71256
235.428	70.5997	16.4562	56.3172	6.2976	4.28345	4.23671	-3.28538	4.68043	-2.63812
237.449	70.5881	16.4481	56.3031	6.3036	4.29123	4.24004	-3.29696	4.67237	-2.65224
239.475	70.588	16.4724	56.2607	6.3396	4.3036	4.25941	-3.29713	4.69668	-2.69456
241.466	70.5781	16.4847	56.2742	6.34816	4.31371	4.26798	-3.307	4.70898	-2.68111
243.482	70.5756	16.4966	56.2901	6.35159	4.31781	4.27266	-3.30955	4.72086	-2.66517
245.49	70.5731	16.4945	56.2678	6.36074	4.32138	4.2763	-3.31204	4.71879	-2.68746
247.504	70.5656	16.5239	56.2244	6.40484	4.34111	4.30176	-3.31947	4.74817	-2.73092
249.532	70.5656	16.5022	56.3109	6.35226	4.32505	4.27665	-3.31947	4.72647	-2.64439
251.53	70.566	16.5119	56.3139	6.35806	4.3276	4.281	-3.31913	4.73615	-2.64144
253.556	70.5655	16.5268	56.3403	6.35854	4.33006	4.28467	-3.31965	4.75109	-2.61498
255.56	70.5485	16.5424	56.3025	6.39466	4.35201	4.30635	-3.3366	4.7667	-2.65279
257.575	70.5462	16.5421	56.3445	6.37835	4.34934	4.30052	-3.33893	4.76641	-2.61079
259.592	70.5493	16.5432	56.3129	6.39052	4.35055	4.30472	-3.33578	4.76749	-2.64242
261.615	70.5479	16.5486	56.2736	6.41157	4.35747	4.31442	-3.33723	4.77282	-2.68166
263.627	70.5424	16.5426	56.2489	6.42041	4.36236	4.31782	-3.34274	4.76686	-2.70644
265.631	70.5409	16.5615	56.3348	6.39953	4.36061	4.31437	-3.34419	4.78575	-2.6205
