#Wavelength [nm]	White Std.	Dark spec	0[s]	19.307[s]	39.359[s]	59.449[s]	79.534[s]	99.569[s]	119.606[s]	139.731[s]	159.762[s]	179.874[s]	199.916[s]	219.971[s]	240.047[s]	260.146[s]	280.297[s]	300.409[s]	300.426[s]
441.184	17794	1031.4	1142.93	1166.46	1142.26	1116.86	1106.66	1088.06	1122.46	1098.46	1109.66	1088.26	1122.06	1075.26	1095.06	1085.66	1055.66	1070.06	1070.06
441.456	18180.6	1040.82	1167.68	1205.48	1156.28	1159.08	1155.48	1151.68	1131.48	1132.68	1144.48	1138.88	1171.88	1113.48	1113.48	1139.68	1149.08	1131.68	1131.68
441.727	18413.2	1032.4	1194.89	1187.82	1211.42	1174.62	1149.22	1150.22	1124.22	1142.82	1139.82	1156.42	1147.42	1137.82	1120.82	1143.42	1134.02	1139.82	1139.82
441.998	18848.1	1030.36	1201.64	1207.57	1189.37	1169.37	1161.77	1186.57	1188.57	1196.77	1175.57	1203.17	1189.57	1147.57	1190.97	1138.97	1152.37	1164.17	1164.17
442.268	19392.6	1030.44	1235.97	1227.84	1251.24	1219.84	1211.44	1237.24	1208.04	1185.04	1233.44	1215.44	1201.24	1192.64	1226.24	1202.64	1202.64	1206.44	1206.44
442.539	19370.6	1040	1255.13	1241.4	1247.6	1211.4	1223.6	1213	1225	1192.6	1221	1208.8	1204.2	1199.2	1208.8	1204.8	1210.2	1213.2	1213.2
442.81	20290	1040.04	1321.96	1317.16	1278.76	1317.56	1274.36	1278.76	1264.76	1260.36	1250.56	1270.76	1265.76	1267.56	1279.16	1274.76	1256.56	1270.16	1270.16
443.081	20151.4	1029.38	1312.6	1289	1273.4	1280.4	1270.4	1249.8	1280.8	1259	1284.8	1251.4	1247.2	1264.2	1236	1255.6	1253.2	1270	1270
443.352	20682	1039.7	1355.5	1311.7	1348.1	1334.5	1329.1	1313.3	1320.9	1322.1	1300.5	1280.9	1282.3	1297.5	1273.7	1291.3	1279.9	1297.1	1297.1
443.622	20915.1	1039.32	1381.77	1359.24	1321.84	1374.04	1319.24	1325.24	1311.44	1304.84	1331.44	1289.24	1313.04	1296.64	1311.04	1322.84	1323.44	1334.04	1334.04
443.893	21308.2	1034.2	1384.94	1374.14	1347.94	1386.54	1389.94	1354.34	1343.54	1365.14	1348.74	1359.14	1372.14	1341.94	1360.14	1336.94	1304.74	1339.54	1339.54
444.163	21839.2	1037.95	1449.58	1389.98	1436.18	1435.78	1416.38	1395.38	1381.18	1416.18	1407.18	1388.58	1370.78	1348.38	1386.78	1324.18	1364.18	1350.78	1350.78
444.434	22149.1	1039.86	1454.67	1415.54	1395.74	1431.34	1392.74	1429.54	1430.34	1411.54	1431.94	1406.14	1414.34	1362.34	1381.94	1407.74	1424.74	1417.74	1417.74
444.704	22429.9	1038.52	1459.32	1464.22	1435.82	1425.02	1400.22	1433.62	1388.22	1450.62	1396.82	1408.02	1435.22	1382.02	1393.02	1426.42	1393.82	1417.82	1417.82
444.975	22919.3	1037.7	1509.84	1484.84	1477.24	1463.04	1474.64	1436.44	1440.24	1466.84	1467.44	1446.64	1432.84	1422.64	1412.44	1440.04	1453.04	1458.44	1458.44
445.245	22974.9	1039.74	1503.35	1499.92	1476.72	1473.12	1496.92	1461.32	1451.32	1484.92	1441.72	1477.32	1450.32	1447.72	1416.92	1449.32	1446.32	1440.92	1440.92
445.515	24052.1	1041.58	1578.66	1542.86	1559.06	1536.26	1532.86	1583.46	1545.06	1542.66	1547.46	1533.06	1524.26	1476.66	1503.86	1514.26	1472.06	1517.46	1517.46
445.786	23975.5	1035.36	1591.81	1594.74	1576.14	1556.74	1509.54	1541.14	1555.74	1581.34	1524.14	1523.14	1537.14	1535.34	1539.74	1502.34	1547.34	1476.34	1476.34
446.056	24639.7	1031.32	1637.63	1652.5	1610.1	1598.5	1574.1	1608.1	1614.5	1582.9	1581.3	1562.9	1572.9	1542.1	1614.5	1565.7	1580.5	1555.7	1555.7
446.326	24847.5	1040.14	1658.36	1604.96	1637.96	1583.16	1580.36	1640.76	1564.96	1578.36	1588.76	1558.96	1582.36	1612.56	1551.76	1566.56	1591.16	1584.36	1584.36
446.596	25224.9	1038.62	1675.17	1636.84	1660.84	1633.84	1614.64	1639.04	1607.64	1637.24	1610.44	1621.74	1633.24	1608.44	1596.44	1593.64	1595.24	1617.64	1617.64
446.866	25501.2	1031.84	1704.49	1675.62	1675.22	1680.42	1668.42	1626.22	1636.62	1620.62	1623.02	1617.42	1623.82	1646.62	1609.22	1591.82	1629.42	1641.42	1641.42
447.136	25743.3	1028.52	1712.23	1694.9	1675.7	1683.7	1706.1	1683.9	1616.5	1665.9	1659.7	1654.1	1637.5	1637.5	1627.3	1635.3	1651.3	1641.9	1641.9
447.406	25906	1043.7	1728.21	1653.88	1677.88	1694.08	1677.68	1705.08	1678.88	1715.08	1701.48	1643.48	1639.08	1646.08	1693.08	1667.08	1663.88	1629.28	1629.28
447.676	26311.4	1031.8	1767.03	1738.76	1723.56	1714.16	1730.96	1737.56	1654.36	1706.96	1706.16	1705.76	1694.76	1702.16	1700.56	1710.56	1695.96	1635.36	1635.36
447.946	26827.6	1037.4	1822.25	1806.38	1772.58	1758.58	1728.38	1773.38	1721.38	1739.38	1772.78	1747.38	1744.98	1717.18	1740.98	1711.78	1743.18	1752.18	1752.18
448.215	26646.9	1040.16	1818.74	1811.54	1782.34	1802.94	1766.34	1749.94	1742.14	1730.54	1744.34	1727.54	1748.94	1730.14	1733.54	1712.74	1728.34	1738.54	1738.54
